PlanVentaProcessor1,Activo,2023-02-25 20:20:21.872673
PlanVentaProcessor2,Inactivo,2023-02-25 20:20:21.872673
PlanVentaProcessor3,Inactivo,2023-02-25 20:20:21.872673
PlanVentaProcessor1,Activo,2023-02-25 20:21:34.473553
PlanVentaProcessor2,Inactivo,2023-02-25 20:21:34.473553
PlanVentaProcessor3,Inactivo,2023-02-25 20:21:34.473553
PlanVentaProcessor1,Activo,2023-02-25 20:22:46.879163
PlanVentaProcessor2,Inactivo,2023-02-25 20:22:46.879163
PlanVentaProcessor3,Inactivo,2023-02-25 20:22:46.879163
PlanVentaProcessor1,Activo,2023-02-25 20:23:58.422492
PlanVentaProcessor2,Inactivo,2023-02-25 20:23:58.422492
PlanVentaProcessor3,Inactivo,2023-02-25 20:23:58.422492
PlanVentaProcessor1,Activo,2023-02-25 20:25:10.030393
PlanVentaProcessor2,Inactivo,2023-02-25 20:25:10.030393
PlanVentaProcessor3,Inactivo,2023-02-25 20:25:10.030393
PlanVentaProcessor1,Activo,2023-02-25 20:26:21.365961
PlanVentaProcessor2,Inactivo,2023-02-25 20:26:21.365961
PlanVentaProcessor3,Inactivo,2023-02-25 20:26:21.365961
PlanVentaProcessor1,Activo,2023-02-25 20:27:33.578706
PlanVentaProcessor2,Inactivo,2023-02-25 20:27:33.578706
PlanVentaProcessor3,Inactivo,2023-02-25 20:27:33.578706
PlanVentaProcessor1,Activo,2023-02-25 20:28:44.142403
PlanVentaProcessor2,Inactivo,2023-02-25 20:28:44.142403
PlanVentaProcessor3,Inactivo,2023-02-25 20:28:44.142403
PlanVentaProcessor1,Activo,2023-02-25 20:29:55.537467
PlanVentaProcessor2,Inactivo,2023-02-25 20:29:55.537467
PlanVentaProcessor3,Inactivo,2023-02-25 20:29:55.537467
PlanVentaProcessor1,Activo,2023-02-25 20:31:06.807749
PlanVentaProcessor2,Inactivo,2023-02-25 20:31:06.807749
PlanVentaProcessor3,Inactivo,2023-02-25 20:31:06.807749
PlanVentaProcessor1,Activo,2023-02-25 20:32:18.489995
PlanVentaProcessor2,Inactivo,2023-02-25 20:32:18.489995
PlanVentaProcessor3,Inactivo,2023-02-25 20:32:18.489995
PlanVentaProcessor1,Activo,2023-02-25 20:33:28.952281
PlanVentaProcessor2,Inactivo,2023-02-25 20:33:28.952281
PlanVentaProcessor3,Inactivo,2023-02-25 20:33:28.952281
PlanVentaProcessor1,Activo,2023-02-25 20:34:39.341429
PlanVentaProcessor2,Inactivo,2023-02-25 20:34:39.341429
PlanVentaProcessor3,Inactivo,2023-02-25 20:34:39.341429
PlanVentaProcessor1,Activo,2023-02-25 20:35:49.841022
PlanVentaProcessor2,Inactivo,2023-02-25 20:35:49.841022
PlanVentaProcessor3,Inactivo,2023-02-25 20:35:49.841022
PlanVentaProcessor1,Activo,2023-02-25 20:37:00.299945
PlanVentaProcessor2,Inactivo,2023-02-25 20:37:00.299945
PlanVentaProcessor3,Inactivo,2023-02-25 20:37:00.299945
PlanVentaProcessor1,Activo,2023-02-25 20:38:10.737073
PlanVentaProcessor2,Inactivo,2023-02-25 20:38:10.737073
PlanVentaProcessor3,Inactivo,2023-02-25 20:38:10.737073
PlanVentaProcessor1,Activo,2023-02-25 20:39:21.315506
PlanVentaProcessor2,Inactivo,2023-02-25 20:39:21.315506
PlanVentaProcessor3,Inactivo,2023-02-25 20:39:21.315506
PlanVentaProcessor1,Activo,2023-02-25 20:40:31.722923
PlanVentaProcessor2,Inactivo,2023-02-25 20:40:31.722923
PlanVentaProcessor3,Inactivo,2023-02-25 20:40:31.722923
PlanVentaProcessor1,Activo,2023-02-25 20:41:42.125090
PlanVentaProcessor2,Inactivo,2023-02-25 20:41:42.125090
PlanVentaProcessor3,Inactivo,2023-02-25 20:41:42.125090
PlanVentaProcessor1,Activo,2023-02-25 20:42:52.556619
PlanVentaProcessor2,Inactivo,2023-02-25 20:42:52.556619
PlanVentaProcessor3,Inactivo,2023-02-25 20:42:52.556619
PlanVentaProcessor1,Activo,2023-02-25 20:44:02.941216
PlanVentaProcessor2,Inactivo,2023-02-25 20:44:02.941216
PlanVentaProcessor3,Inactivo,2023-02-25 20:44:02.941216
PlanVentaProcessor1,Activo,2023-02-25 20:45:20.372474
PlanVentaProcessor2,Inactivo,2023-02-25 20:45:20.372474
PlanVentaProcessor3,Inactivo,2023-02-25 20:45:20.372474
PlanVentaProcessor1,Activo,2023-02-25 20:46:30.761183
PlanVentaProcessor2,Inactivo,2023-02-25 20:46:30.761183
PlanVentaProcessor3,Inactivo,2023-02-25 20:46:30.761183
PlanVentaProcessor1,Activo,2023-02-25 20:47:41.193803
PlanVentaProcessor2,Inactivo,2023-02-25 20:47:41.193803
PlanVentaProcessor3,Inactivo,2023-02-25 20:47:41.193803
PlanVentaProcessor1,Activo,2023-02-25 20:48:51.566184
PlanVentaProcessor2,Inactivo,2023-02-25 20:48:51.566184
PlanVentaProcessor3,Inactivo,2023-02-25 20:48:51.566184
PlanVentaProcessor1,Activo,2023-02-25 20:50:01.988886
PlanVentaProcessor2,Inactivo,2023-02-25 20:50:01.988886
